year,name,artists,album,popularity,release_date
2001,Get Ur Freak On,Missy Elliott,Miss E... So Addictive,47,2001-05-14
2001,Irresistible,Jessica Simpson,Irresistible,43,2001-06-05
2001,sobeautiful,Musiq Soulchild,Atlantic/Elektra Records Present The Love - EP,29,2011-02-07
2001,Oochie Wally - Remix,"Nas, Bravehearts",Oochie Wally,27,2001-04-24
2001,If You're Gone - 2007 Remaster,Matchbox Twenty,Exile on Mainstream,33,2007-10-02
2001,Crazy for This Girl,Evan And Jaron,"Songs From Dawson's Creek, Vol. II",34,2000-09-29
2001,Livin' It Up,"Ja Rule, Case",The Ultimate Workout Collection: Blood Sweat And Tears,39,2009-01-01
2001,Be Like That,3 Doors Down,The Better Life - Deluxe Edition,0,2007-01-01
2001,Hit 'Em Up Style (Oops!),Blu Cantrell,Totally Hits 2001,0,2001-09-25
2001,Nobody Wants to Be Lonely - Ricky Martin with Christina Aguilera,"Ricky Martin, Christina Aguilera",Keeps Gettin' Better: A Decade of Hits,0,2008-11-07
2001,Crazy,K-Ci & JoJo,The Best Of K-Ci & JoJo 20th Century Masters The Millennium Collection,0,2006-01-01
2001,Dance with Me,Debelah Morgan,Dance With Me,46,2000
2001,Love Don't Cost a Thing,Jennifer Lopez,On The 6 / J. Lo (Coffret 2 CD),29,2003-10-06
2001,Missing You,Case,Open Letter,63,2001-01-01
2001,I Wish - Radio Edit,R. Kelly,The World's Greatest,39,2011-10-24
2001,One Minute Man (feat. Ludacris),"Missy Elliott, Ludacris",Miss E... So Addictive,37,2001-05-14
2001,My Baby,Lil' Romeo,Lil' Romeo,36,2001-01-01
2001,"Superwoman, Pt. II Remix (feat. Fabolous)","Lil' Mo, Fabolous",Based On A True Story,46,2001-06-26
2001,Someone To Call My Lover,Janet Jackson,Number Ones,0,2009-01-01
2001,I Wanna Be Bad - No Rap with Vocoder,Willa Ford,I Wanna Be Bad (85103),26,2001-06-19
2001,Only Time,Enya,The Very Best of Enya,16,2009-11-20
2001,I Do!!,Toya,Totally Hits 2001,0,2001-09-25
2001,Play,Jennifer Lopez,On The 6 / J. Lo (Coffret 2 CD),17,2003-10-06
2001,Most Girls,P!nk,The Album Collection,0,2011
2001,Fiesta - Remix,"R. Kelly, JAY-Z, Boo, Gotti",The R. In R&B Collection: Volume 1,0,2003-09-11
2001,Hanging By A Moment,Lifehouse,No Name Face,0,2001-03-02
2001,Ride Wit Me - Album Version (Edited),"Nelly, City Spud",Lost & Found: Noughties Pop Volume 1,0,2007
2001,Hero,Enrique Iglesias,Greatest Hits,49,2008-01-01
2001,Can't Deny It (feat. Nate Dogg),"Fabolous, Nate Dogg",Ghetto Fabolous,53,2001-09-11
